logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,AD2 flag,Speed Units,Tunnel,Bridge,Build-up Area,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Effective Speed Limit,Effective Speed Limit Type,Number of Lanes in driving direction
34515,1970-01-02 09:00:02.675712,53.06,8,2.675712,53.06,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
34600,1970-01-02 09:00:02.681428,5.715999999999999,8,2.681427,5.715,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
35358,1970-01-02 09:00:02.725864,44.436,8,2.725863,44.436,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
35407,1970-01-02 09:00:02.731134,5.2700000000000005,8,2.731133,5.27,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
36361,1970-01-02 09:00:02.786117,54.983,8,2.786117,54.984,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
36443,1970-01-02 09:00:02.790785,4.668,8,2.790785,4.668,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
37187,1970-01-02 09:00:02.835993,45.208,8,2.835992,45.207,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
37256,1970-01-02 09:00:02.840286,4.293,8,2.840285,4.293,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
38282,1970-01-02 09:00:02.895972,55.686,8,2.895972,55.687,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
38322,1970-01-02 09:00:02.899720,3.748,8,2.899719,3.747,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
39063,1970-01-02 09:00:02.945957,46.237,8,2.945957,46.238,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
39098,1970-01-02 09:00:02.949252,3.2950000000000004,8,2.949251,3.294,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
40071,1970-01-02 09:00:03.006059,56.807,8,3.006059,56.808,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
40079,1970-01-02 09:00:03.008809,2.75,8,3.008809,2.75,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
40834,1970-01-02 09:00:03.056041,47.232000000000006,8,3.056041,47.232,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
40846,1970-01-02 09:00:03.058338,2.297,8,3.058338,2.297,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
41854,1970-01-02 09:00:03.116102,57.764,8,3.116102,57.764,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
41888,1970-01-02 09:00:03.117887,1.785,8,3.117887,1.785,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
42650,1970-01-02 09:00:03.166551,48.664,8,3.16655,48.663,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
42690,1970-01-02 09:00:03.168115,1.564,8,3.168115,1.565,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
43708,1970-01-02 09:00:03.226168,58.053,8,3.226168,58.053,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
43714,1970-01-02 09:00:03.227694,1.526,8,3.227693,1.525,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
44530,1970-01-02 09:00:03.275965,48.271,8,3.275964,48.271,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
44547,1970-01-02 09:00:03.277331,1.366,8,3.27733,1.366,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
45505,1970-01-02 09:00:03.336209,58.878,8,3.336209,58.879,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
45513,1970-01-02 09:00:03.337474,1.2650000000000001,8,3.337474,1.265,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
46344,1970-01-02 09:00:03.386425,48.951,8,3.386424,48.95,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
46364,1970-01-02 09:00:03.387478,1.053,8,3.387478,1.054,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
47362,1970-01-02 09:00:03.446279,58.801,8,3.446279,58.801,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
47373,1970-01-02 09:00:03.447281,1.002,8,3.447281,1.002,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
48257,1970-01-02 09:00:03.496287,49.006,8,3.496287,49.006,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
48268,1970-01-02 09:00:03.497172,0.885,8,3.497171,0.884,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
49156,1970-01-02 09:00:03.556360,59.187999999999995,8,3.556359,59.188,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
49161,1970-01-02 09:00:03.557102,0.742,8,3.557101,0.742,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
50030,1970-01-02 09:00:03.606323,49.221000000000004,8,3.606323,49.222,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
50035,1970-01-02 09:00:03.606944,0.621,8,3.606944,0.621,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
51209,1970-01-02 09:00:03.676416,69.47200000000001,8,3.676415,69.471,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
51213,1970-01-02 09:00:03.676872,0.456,8,3.676872,0.457,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
