
logIndex,logTime,ΔlogTime[ms],length,timeStamp[s],ΔtimeStamp[ms],seq,ID,msgcnt,Δmsgcnt,LaneID,分割数,分割番号,Number of Array,Instance ID,Is Retransmission,Is Update,Path Id,Offset[cm],End Offset[cm],End Offset Final,Confidence[%],Standard Deviation,Lane Number,Profile Type,Available,Profile Value
663654,2025-01-31 03:36:02.085774,0.0,1316,8453.719873,0.0,18397,0x10a,14373,1,5130010000000273798,3,1,10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,=R10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
,,,,,,,,,,,,,,,,,,=S10
