2025-09-29 18:33:13,406,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267817, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,431,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267818, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,433,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267821, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,435,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267823, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,435,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267909, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,437,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267913, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,437,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267917, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,438,packetAnalyzer ,ERROR   ,<Size Error> logIndex:267918, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,438,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268014, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,440,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268020, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,440,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268033, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,440,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268038, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,441,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268156, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,447,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268169, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,448,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268264, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,449,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268266, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,451,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268273, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,452,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268373, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,454,packetAnalyzer ,ERROR   ,<Size Error> logIndex:268374, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,454,packetAnalyzer ,ERROR   ,<Size Error> logIndex:269858, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,454,packetAnalyzer ,ERROR   ,<Size Error> logIndex:269862, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,455,packetAnalyzer ,ERROR   ,<Size Error> logIndex:269863, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,455,packetAnalyzer ,ERROR   ,<Size Error> logIndex:269864, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
